,Cdufmun,Município,DATA,Número de registros,População,UF,Índice de isolamento,isolamento_num,Dia da semana
0,3530706,Mogi Guaçu,05/03/2020,1,151888,SP,40%,0.4,Quinta-Feira
1,3530706,Mogi Guaçu,06/03/2020,1,151888,SP,38%,0.38,Sexta-feira
2,3530706,Mogi Guaçu,12/03/2020,1,151888,SP,35%,0.35,Quinta-Feira
3,3530706,Mogi Guaçu,13/03/2020,1,151888,SP,37%,0.37,Sexta-feira
4,3530706,Mogi Guaçu,17/03/2020,1,151888,SP,43%,0.43,Terça-feira
5,3530706,Mogi Guaçu,18/03/2020,1,151888,SP,42%,0.42,Quarta-feira
6,3530706,Mogi Guaçu,19/03/2020,1,151888,SP,44%,0.44,Quinta-Feira
7,3530706,Mogi Guaçu,20/03/2020,1,151888,SP,46%,0.46,Sexta-feira
8,3530706,Mogi Guaçu,21/03/2020,1,151888,SP,58%,0.58,Sábado
9,3530706,Mogi Guaçu,22/03/2020,1,151888,SP,57%,0.57,Domingo
10,3530706,Mogi Guaçu,23/03/2020,1,151888,SP,53%,0.53,Segunda-feira
11,3530706,Mogi Guaçu,24/03/2020,1,151888,SP,55%,0.55,Terça-feira
12,3530706,Mogi Guaçu,25/03/2020,1,151888,SP,55%,0.55,Quarta-feira
13,3530706,Mogi Guaçu,26/03/2020,1,151888,SP,54%,0.54,Quinta-Feira
14,3530706,Mogi Guaçu,27/03/2020,1,151888,SP,54%,0.54,Sexta-feira
15,3530706,Mogi Guaçu,28/03/2020,1,151888,SP,57%,0.57,Sábado
16,3530706,Mogi Guaçu,29/03/2020,1,151888,SP,59%,0.59,Domingo
17,3530706,Mogi Guaçu,30/03/2020,1,151888,SP,57%,0.57,Segunda-feira
18,3530706,Mogi Guaçu,31/03/2020,1,151888,SP,56%,0.56,Terça-feira
19,3530706,Mogi Guaçu,01/04/2020,1,151888,SP,55%,0.55,Quarta-feira
20,3530706,Mogi Guaçu,02/04/2020,1,151888,SP,55%,0.55,Quinta-Feira
21,3530706,Mogi Guaçu,03/04/2020,1,151888,SP,55%,0.55,Sexta-feira
22,3530706,Mogi Guaçu,04/04/2020,1,151888,SP,58%,0.58,Sábado
23,3530706,Mogi Guaçu,05/04/2020,1,151888,SP,58%,0.58,Domingo
24,3530706,Mogi Guaçu,06/04/2020,1,151888,SP,53%,0.53,Segunda-feira
25,3530706,Mogi Guaçu,07/04/2020,1,151888,SP,51%,0.51,Terça-feira
26,3530706,Mogi Guaçu,08/04/2020,1,151888,SP,48%,0.48,Quarta-feira
27,3530706,Mogi Guaçu,09/04/2020,1,151888,SP,50%,0.5,Quinta-Feira
28,3530706,Mogi Guaçu,10/04/2020,1,151888,SP,61%,0.61,Sexta-feira
29,3530706,Mogi Guaçu,11/04/2020,1,151888,SP,54%,0.54,Sábado
30,3530706,Mogi Guaçu,12/04/2020,1,151888,SP,57%,0.57,Domingo
31,3530706,Mogi Guaçu,13/04/2020,1,151888,SP,49%,0.49,Segunda-feira
32,3530706,Mogi Guaçu,14/04/2020,1,151888,SP,50%,0.5,Terça-feira
33,3530706,Mogi Guaçu,15/04/2020,1,151888,SP,50%,0.5,Quarta-feira
34,3530706,Mogi Guaçu,16/04/2020,1,151888,SP,49%,0.49,Quinta-Feira
35,3530706,Mogi Guaçu,17/04/2020,1,151888,SP,48%,0.48,Sexta-feira
36,3530706,Mogi Guaçu,18/04/2020,1,151888,SP,53%,0.53,Sábado
37,3530706,Mogi Guaçu,19/04/2020,1,151888,SP,58%,0.58,Domingo
38,3530706,Mogi Guaçu,20/04/2020,1,151888,SP,49%,0.49,Segunda-feira
39,3530706,Mogi Guaçu,21/04/2020,1,151888,SP,57%,0.57,Terça-feira
40,3530706,Mogi Guaçu,22/04/2020,1,151888,SP,47%,0.47,Quarta-feira
41,3530706,Mogi Guaçu,23/04/2020,1,151888,SP,46%,0.46,Quinta-Feira
42,3530706,Mogi Guaçu,24/04/2020,1,151888,SP,47%,0.47,Sexta-feira
43,3530706,Mogi Guaçu,25/04/2020,1,151888,SP,52%,0.52,Sábado
44,3530706,Mogi Guaçu,26/04/2020,1,151888,SP,57%,0.57,Domingo
45,3530706,Mogi Guaçu,27/04/2020,1,151888,SP,47%,0.47,Segunda-feira
46,3530706,Mogi Guaçu,28/04/2020,1,151888,SP,46%,0.46,Terça-feira
47,3530706,Mogi Guaçu,29/04/2020,1,151888,SP,47%,0.47,Quarta-feira
48,3530706,Mogi Guaçu,30/04/2020,1,151888,SP,46%,0.46,Quinta-Feira
