,Cdufmun,Município,DATA,Number of Records,População,UF,Índice de isolamento,isolamento_num,Dia da semana
0,3530706,Mogi Guaçu,3/5/2020,1,151888,SP,40%,0.4,Quinta-Feira
1,3530706,Mogi Guaçu,3/6/2020,1,151888,SP,38%,0.38,Sexta-feira
2,3530706,Mogi Guaçu,3/12/2020,1,151888,SP,35%,0.35,Quinta-Feira
3,3530706,Mogi Guaçu,3/13/2020,1,151888,SP,37%,0.37,Sexta-feira
4,3530706,Mogi Guaçu,3/17/2020,1,151888,SP,43%,0.43,Terça-feira
5,3530706,Mogi Guaçu,3/18/2020,1,151888,SP,42%,0.42,Quarta-feira
6,3530706,Mogi Guaçu,3/19/2020,1,151888,SP,44%,0.44,Quinta-Feira
7,3530706,Mogi Guaçu,3/20/2020,1,151888,SP,46%,0.46,Sexta-feira
8,3530706,Mogi Guaçu,3/21/2020,1,151888,SP,58%,0.58,Sábado
9,3530706,Mogi Guaçu,3/22/2020,1,151888,SP,57%,0.57,Domingo
10,3530706,Mogi Guaçu,3/23/2020,1,151888,SP,53%,0.53,Segunda-feira
11,3530706,Mogi Guaçu,3/24/2020,1,151888,SP,55%,0.55,Terça-feira
12,3530706,Mogi Guaçu,3/25/2020,1,151888,SP,55%,0.55,Quarta-feira
13,3530706,Mogi Guaçu,3/26/2020,1,151888,SP,54%,0.54,Quinta-Feira
14,3530706,Mogi Guaçu,3/27/2020,1,151888,SP,54%,0.54,Sexta-feira
15,3530706,Mogi Guaçu,3/28/2020,1,151888,SP,57%,0.57,Sábado
16,3530706,Mogi Guaçu,3/29/2020,1,151888,SP,59%,0.59,Domingo
17,3530706,Mogi Guaçu,3/30/2020,1,151888,SP,57%,0.57,Segunda-feira
18,3530706,Mogi Guaçu,3/31/2020,1,151888,SP,56%,0.56,Terça-feira
19,3530706,Mogi Guaçu,4/1/2020,1,151888,SP,55%,0.55,Quarta-feira
20,3530706,Mogi Guaçu,4/2/2020,1,151888,SP,55%,0.55,Quinta-Feira
21,3530706,Mogi Guaçu,4/3/2020,1,151888,SP,55%,0.55,Sexta-feira
22,3530706,Mogi Guaçu,4/4/2020,1,151888,SP,58%,0.58,Sábado
23,3530706,Mogi Guaçu,4/5/2020,1,151888,SP,58%,0.58,Domingo
24,3530706,Mogi Guaçu,4/6/2020,1,151888,SP,53%,0.53,Segunda-feira
25,3530706,Mogi Guaçu,4/7/2020,1,151888,SP,51%,0.51,Terça-feira
26,3530706,Mogi Guaçu,4/8/2020,1,151888,SP,48%,0.48,Quarta-feira
27,3530706,Mogi Guaçu,4/9/2020,1,151888,SP,50%,0.5,Quinta-Feira
28,3530706,Mogi Guaçu,4/10/2020,1,151888,SP,61%,0.61,Sexta-feira
29,3530706,Mogi Guaçu,4/11/2020,1,151888,SP,54%,0.54,Sábado
30,3530706,Mogi Guaçu,4/12/2020,1,151888,SP,57%,0.57,Domingo
31,3530706,Mogi Guaçu,4/13/2020,1,151888,SP,49%,0.49,Segunda-feira
32,3530706,Mogi Guaçu,4/14/2020,1,151888,SP,50%,0.5,Terça-feira
33,3530706,Mogi Guaçu,4/15/2020,1,151888,SP,50%,0.5,Quarta-feira
34,3530706,Mogi Guaçu,4/16/2020,1,151888,SP,49%,0.49,Quinta-Feira
35,3530706,Mogi Guaçu,4/17/2020,1,151888,SP,48%,0.48,Sexta-feira
36,3530706,Mogi Guaçu,4/18/2020,1,151888,SP,53%,0.53,Sábado
37,3530706,Mogi Guaçu,4/19/2020,1,151888,SP,58%,0.58,Domingo
38,3530706,Mogi Guaçu,4/20/2020,1,151888,SP,49%,0.49,Segunda-feira
39,3530706,Mogi Guaçu,4/21/2020,1,151888,SP,57%,0.57,Terça-feira
40,3530706,Mogi Guaçu,4/22/2020,1,151888,SP,47%,0.47,Quarta-feira
41,3530706,Mogi Guaçu,4/23/2020,1,151888,SP,46%,0.46,Quinta-Feira
42,3530706,Mogi Guaçu,4/24/2020,1,151888,SP,47%,0.47,Sexta-feira
43,3530706,Mogi Guaçu,4/25/2020,1,151888,SP,52%,0.52,Sábado
44,3530706,Mogi Guaçu,4/26/2020,1,151888,SP,57%,0.57,Domingo
45,3530706,Mogi Guaçu,4/27/2020,1,151888,SP,47%,0.47,Segunda-feira
46,3530706,Mogi Guaçu,4/28/2020,1,151888,SP,46%,0.46,Terça-feira
47,3530706,Mogi Guaçu,4/29/2020,1,151888,SP,47%,0.47,Quarta-feira
48,3530706,Mogi Guaçu,4/30/2020,1,151888,SP,46%,0.46,Quinta-Feira
49,3530706,Mogi Guaçu,5/1/2020,1,151888,SP,53%,0.53,Sexta-feira
